District,year,Season,temperature,temperature_max,temperature_min,humidity,rainfall
Ramanathapuram,2025,Rabi,26.2,37.0,19.5,79.7,906.0
Ramanathapuram,2025,Summer,29.4,37.8,21.8,73.2,240.0
Salem,2020,Kharif,27.4,38.6,21.3,73.8,616.0
Salem,2020,Rabi,25.8,36.3,16.0,68.9,394.0
Salem,2020,Summer,31.0,40.4,21.7,51.3,63.0
Salem,2021,Kharif,27.6,38.5,21.2,71.3,442.0
Salem,2021,Rabi,24.9,38.4,16.2,75.9,653.0
Salem,2021,Summer,30.1,42.0,19.1,53.2,89.0
Salem,2022,Kharif,26.8,38.0,20.9,74.9,620.0
Salem,2022,Rabi,25.0,35.5,16.6,72.1,496.0
Salem,2022,Summer,29.4,41.2,18.3,57.1,193.0
Salem,2023,Kharif,28.4,38.3,21.9,68.4,415.0
Salem,2023,Rabi,25.8,36.2,15.5,67.4,314.0
Salem,2023,Summer,29.1,40.0,16.0,58.2,194.0
Salem,2024,Kharif,27.6,38.0,21.9,73.2,533.0
Salem,2024,Rabi,26.2,38.1,16.5,71.3,574.0
Salem,2024,Summer,31.3,43.4,20.6,52.8,214.0
Salem,2025,Kharif,27.4,36.9,20.8,72.1,492.0
Salem,2025,Rabi,25.5,36.2,16.0,68.9,248.0
Salem,2025,Summer,29.6,39.2,20.7,58.5,227.0
Sivagangai,2020,Kharif,30.3,41.2,23.7,61.0,336.0
Sivagangai,2020,Rabi,26.6,38.8,19.0,73.4,760.0
Sivagangai,2020,Summer,30.6,42.0,21.8,63.0,92.0
Sivagangai,2021,Kharif,30.2,40.1,23.6,60.9,362.0
Sivagangai,2021,Rabi,25.5,36.0,17.8,79.4,1143.0
Sivagangai,2021,Summer,29.7,41.0,19.9,65.4,145.0
Sivagangai,2022,Kharif,29.2,39.1,22.5,66.2,468.0
Sivagangai,2022,Rabi,26.0,37.8,18.9,75.2,588.0
Sivagangai,2022,Summer,29.6,40.4,20.4,65.1,208.0
Sivagangai,2023,Kharif,30.5,41.5,23.9,61.9,441.0
Sivagangai,2023,Rabi,26.0,36.8,17.2,75.9,720.0
Sivagangai,2023,Summer,29.7,40.8,20.3,66.5,199.0
Sivagangai,2024,Kharif,29.9,40.0,23.1,65.4,451.0
Sivagangai,2024,Rabi,26.6,36.6,19.0,77.8,925.0
Sivagangai,2024,Summer,30.3,41.9,21.7,67.2,405.0
Sivagangai,2025,Kharif,30.6,40.5,24.1,58.6,338.0
Sivagangai,2025,Rabi,26.1,37.0,18.5,76.4,736.0
Sivagangai,2025,Summer,29.8,38.8,20.9,67.1,202.0
Thanjavur,2020,Kharif,30.0,40.6,23.9,64.6,346.0
Thanjavur,2020,Rabi,26.2,36.5,18.2,75.4,733.0
Thanjavur,2020,Summer,30.6,42.4,21.4,63.4,65.0
Thanjavur,2021,Kharif,30.2,40.2,24.0,61.8,327.0
Thanjavur,2021,Rabi,25.2,34.7,16.8,82.2,1085.0
Thanjavur,2021,Summer,29.7,40.5,19.0,66.2,104.0
Thanjavur,2022,Kharif,29.1,39.2,22.5,68.2,487.0
Thanjavur,2022,Rabi,25.3,35.3,17.8,79.5,678.0
Thanjavur,2022,Summer,29.2,41.2,19.3,68.8,181.0
Thanjavur,2023,Kharif,30.4,40.4,24.0,63.2,415.0
Thanjavur,2023,Rabi,25.5,36.2,16.4,79.3,777.0
Thanjavur,2023,Summer,29.4,40.4,19.5,69.5,199.0
Thanjavur,2024,Kharif,29.9,39.7,24.4,65.9,456.0
Thanjavur,2024,Rabi,26.2,36.5,18.5,80.8,1314.0
Thanjavur,2024,Summer,30.2,42.0,21.3,69.1,416.0
Thanjavur,2025,Kharif,30.0,39.5,24.0,62.2,318.0
Thanjavur,2025,Rabi,25.6,37.2,17.8,79.7,729.0
Thanjavur,2025,Summer,29.3,38.3,19.5,70.8,173.0
The Nilgiris,2020,Kharif,15.2,21.2,10.1,90.3,1288.0
The Nilgiris,2020,Rabi,13.9,21.4,6.1,82.2,681.0
The Nilgiris,2020,Summer,16.3,23.4,9.1,75.8,285.0
The Nilgiris,2021,Kharif,14.8,20.8,10.8,90.7,1219.0
The Nilgiris,2021,Rabi,13.7,20.2,4.9,86.4,1015.0
The Nilgiris,2021,Summer,15.5,23.9,6.2,76.4,488.0
The Nilgiris,2022,Kharif,14.7,21.1,9.1,90.9,984.0
The Nilgiris,2022,Rabi,13.4,20.5,5.8,82.5,598.0
The Nilgiris,2022,Summer,15.8,22.9,6.4,74.8,412.0
The Nilgiris,2023,Kharif,15.6,22.0,11.0,86.1,621.0
The Nilgiris,2023,Rabi,14.0,21.4,4.5,77.6,421.0
The Nilgiris,2023,Summer,15.6,23.0,6.0,74.6,386.0
The Nilgiris,2024,Kharif,15.8,22.5,10.3,87.3,842.0
The Nilgiris,2024,Rabi,14.4,22.1,7.1,82.8,636.0
The Nilgiris,2024,Summer,17.5,26.5,7.8,67.0,248.0
The Nilgiris,2025,Kharif,15.2,21.3,11.1,86.3,683.0
The Nilgiris,2025,Rabi,14.1,21.8,6.9,74.0,380.0
The Nilgiris,2025,Summer,16.6,23.0,10.5,71.5,468.0
Theni,2020,Kharif,28.2,37.7,22.3,65.0,325.0
Theni,2020,Rabi,26.3,37.1,18.0,67.5,392.0
Theni,2020,Summer,30.6,40.5,22.5,53.8,74.0
Theni,2021,Kharif,28.2,37.7,21.9,63.5,248.0
Theni,2021,Rabi,25.1,36.4,17.2,75.3,802.0
Theni,2021,Summer,28.7,39.2,20.2,60.7,194.0
Theni,2022,Kharif,27.9,38.8,21.5,65.0,380.0
Theni,2022,Rabi,25.6,35.1,19.1,70.9,482.0
Theni,2022,Summer,29.0,39.1,21.9,59.3,174.0
Theni,2023,Kharif,28.7,39.7,22.1,63.7,272.0
Theni,2023,Rabi,26.1,37.5,17.5,68.0,400.0
Theni,2023,Summer,29.2,40.5,19.7,59.0,181.0
Theni,2024,Kharif,28.0,37.8,22.2,68.0,357.0
Theni,2024,Rabi,26.2,37.4,19.4,70.9,538.0
Theni,2024,Summer,30.7,43.1,21.8,54.1,303.0
Theni,2025,Kharif,28.5,37.4,22.8,61.1,182.0
Theni,2025,Rabi,26.0,37.0,16.4,66.7,364.0
Theni,2025,Summer,28.6,37.8,20.6,62.2,221.0
Thiruvarur,2020,Kharif,29.9,41.3,24.0,69.0,444.0
Thiruvarur,2020,Rabi,26.2,36.0,18.8,78.3,851.0
